model,setting,horizon,station,MAE,RMSE,R2,MAPE,spike_MAE,spike_RMSE,spike_recall,n,n_spike
persistence,global,1,Guanyuan,11.207128251551268,21.462565443860832,0.9453370407205588,0.19158715688831354,15.975361840073187,26.947790972614094,0.9421196714900274,5808,2557
persistence,global,1,Gucheng,10.676054660282187,21.9048153682626,0.9479774553954051,0.18173586624284788,15.611054478269635,27.295900336029497,0.9401913875598086,5808,2508
persistence,global,1,Huairou,8.5547523288359,18.752750210163914,0.9352335336670725,0.17274888920605216,14.174001017422404,26.023237750182275,0.9372787051087507,5808,1977
persistence,global,1,Nongzhanguan,10.852969930848472,20.755928458714457,0.9519362035611904,0.18604298470744918,16.03210922804311,27.01437065010319,0.9398315282791817,5808,2493
persistence,global,1,Shunyi,10.692067043183592,21.002269832438856,0.9429017135160636,0.1840017557737039,17.053312104891535,28.444243059300735,0.9343979283556323,5808,2317
persistence,global,1,Tiantan,10.847370059693812,19.945611326314637,0.9512082303212639,0.19920268372227715,15.094307220831908,24.41136397047171,0.9311608961303462,5808,2455
persistence,global,1,Wanliu,9.984332196968646,19.708826745558916,0.9491102514175618,0.18292199390861083,14.586235875599133,24.23294949353886,0.9391523289970626,5808,2383
persistence,global,1,Wanshouxigong,11.405393498659791,24.316989539254543,0.9392671198983202,0.18718786187675546,16.229240906164513,27.709528446307953,0.9375,5808,2576
persistence,global,6,Aotizhongxin,35.11028816937044,59.9341291769777,0.5510251970481208,0.6770122554124458,49.4749793974532,72.41450967029233,0.7706422018348624,5803,2398
persistence,global,6,Changping,28.116491736162743,50.09651591702001,0.5838969864758397,0.6495703115589336,42.32732754880124,60.79613642497855,0.7702702702702703,5803,1998
persistence,global,6,Dingling,25.521971724104432,47.05250257400782,0.6524717069631816,0.5900226632773382,38.17640990539961,57.44450543766678,0.7858251422659079,5803,1933
persistence,global,6,Dongsi,38.57694340951891,67.00431524157254,0.5291428682841901,0.67867359394804,52.04025623617179,79.01566028469476,0.7979683972911964,5803,2658
persistence,global,6,Guanyuan,35.7044635347389,60.57295707048708,0.5648501757398632,0.6788265265106047,48.30308975500197,70.47757963091898,0.7895971842002346,5803,2557
persistence,global,6,Gucheng,35.992426500677055,63.317838823139745,0.5655651738,0.7178248216972117,49.218919267304585,74.45791552766842,0.7862838915470495,5803,2508
persistence,global,6,Huairou,27.085818089391985,48.179852223342166,0.572754067258976,0.5555599518583944,43.040465538707956,62.24430577066472,0.7728882144663631,5803,1977
persistence,global,6,Nongzhanguan,37.909365982510565,64.4764823290228,0.5364511614916887,0.6782604102647614,53.62537061015717,78.38266040923017,0.7785800240673887,5803,2493
persistence,global,6,Shunyi,37.79330129654638,64.54548802793886,0.461158119480907,0.6642978912244901,57.96953102174488,84.08099183026853,0.743623000432339,5803,2313
persistence,global,6,Tiantan,34.70102547161254,57.907887764487086,0.5889701232317965,0.6766518884625374,47.59350267087855,68.66597879549909,0.7621181262729124,5803,2455
persistence,global,6,Wanliu,32.8147514017208,56.68081855901253,0.57933548887581,0.6242033747158909,45.3680237399096,66.5707341996588,0.7767519932857743,5803,2383
persistence,global,6,Wanshouxigong,38.158982486123364,65.06318417928703,0.5654788282765322,0.7232813060136678,51.935005392347065,76.31245901542736,0.7732919254658385,5803,2576
persistence,multi,1,Aotizhongxin,10.676653017354077,20.16190507229902,0.94915965831163,0.18872541341932572,16.104253533485036,26.881446709442972,0.9353628023352794,5808,2398
persistence,multi,1,Changping,10.079889931297828,19.283239479340114,0.9383272187192563,0.2065706565588541,16.359859936230176,27.134236120456272,0.9209209209209209,5808,1998
persistence,multi,1,Dingling,8.400482297272065,17.63511416773313,0.951163573510632,0.18815337668906992,13.183135052881768,24.485930488504934,0.9368856699430936,5808,1933
persistence,multi,1,Dongsi,11.172520796457926,22.729068394151323,0.9457877748571258,0.16962049679325739,16.18999254443396,28.132620394939853,0.9477050413844996,5808,2658
persistence,multi,1,Guanyuan,11.207128251551268,21.462565443860832,0.9453370407205588,0.19158715688831354,15.975361840073187,26.947790972614094,0.9421196714900274,5808,2557
